Displaying teams informations (top 30)
+----+-----------------------------+-----------------+---------+-------------+-------+
| ID | Name                        | Net             | FlagPts | FlagInstPts | Total |
+----+-----------------------------+-----------------+---------+-------------+-------+
| 1  | Team HF Crew                | 172.16.66.0/24  |    0    |      0      |   0   |
| 2  | _TMIH_                      | 172.28.101.0/24 |   1225  |      0      |  1225 |
| 3  | Gliderous Tigers            | 172.28.102.0/24 |   1925  |      0      |  1925 |
| 4  | Kamikaze Monsters           | 172.28.103.0/24 |   1625  |      0      |  1625 |
| 5  | LOOLLLZZ                    | 172.28.104.0/24 |   325   |      0      |  325  |
| 6  | Rootmont                    | 172.28.105.0/24 |   1225  |      0      |  1225 |
| 7  | usedoils                    | 172.28.106.0/24 |   2125  |      0      |  2125 |
| 8  | The Bunzi Hackolic Ravens   | 172.28.107.0/24 |   2825  |      0      |  2825 |
| 9  | Relentless Penguin Uprising | 172.28.108.0/24 |    0    |      0      |   0   |
| 10 | Hacker and Friends          | 172.28.109.0/24 |   175   |      0      |  175  |
| 11 | Power Overflow              | 172.28.110.0/24 |   2125  |      0      |  2125 |
| 12 | Retro Spiders               | 172.28.32.0/24  |   225   |      0      |  225  |
| 13 | 0x90                        | 172.28.33.0/24  |   325   |      0      |  325  |
| 14 | Dao                         | 172.28.34.0/24  |    0    |      0      |   0   |
| 15 | Game 0verflow               | 172.28.35.0/24  |    0    |      0      |   0   |
| 16 | Kung Fury                   | 172.28.36.0/24  |    0    |      0      |   0   |
| 17 | Hackerman                   | 172.28.37.0/24  |    0    |      0      |   0   |
| 18 | Wiresharp                   | 172.28.38.0/24  |    0    |      0      |   0   |
| 19 | CVE-2015-3459               | 172.28.39.0/24  |    0    |      0      |   0   |
| 20 | Not a CISSP                 | 172.28.40.0/24  |    0    |      0      |   0   |
| 21 | Triceracops                 | 172.28.41.0/24  |    0    |      0      |   0   |
+----+-----------------------------+-----------------+---------+-------------+-------+

